{ 0 } | Support: 47
{ 3 } | Support: 109
{ 4 } | Support: 25
{ 5 } | Support: 44
{ 6 } | Support: 32
{ 7 } | Support: 60
{ 8 } | Support: 113
{ 9 } | Support: 75
{ 10 } | Support: 33
{ 11 } | Support: 88
{ 12 } | Support: 38
{ 13 } | Support: 35
{ 14 } | Support: 78
{ 15 } | Support: 23
{ 16 } | Support: 13
{ 17 } | Support: 106
{ 18 } | Support: 28
{ 19 } | Support: 28
{ 20 } | Support: 14
{ 21 } | Support: 57
{ 22 } | Support: 15
{ 23 } | Support: 63
{ 24 } | Support: 25
{ 25 } | Support: 47
{ 26 } | Support: 51
{ 27 } | Support: 14
{ 28 } | Support: 100
{ 29 } | Support: 71
{ 31 } | Support: 27
{ 32 } | Support: 7
{ 33 } | Support: 49
{ 34 } | Support: 45
{ 35 } | Support: 74
{ 36 } | Support: 156
{ 38 } | Support: 226
{ 39 } | Support: 72
{ 40 } | Support: 84
{ 41 } | Support: 26
{ 42 } | Support: 44
{ 43 } | Support: 81
{ 44 } | Support: 7
{ 45 } | Support: 31
{ 46 } | Support: 26
{ 47 } | Support: 83
{ 48 } | Support: 117
{ 49 } | Support: 30
{ 50 } | Support: 34
{ 51 } | Support: 73
{ 52 } | Support: 56
{ 53 } | Support: 24
{ 54 } | Support: 9
{ 55 } | Support: 29
{ 57 } | Support: 30
{ 59 } | Support: 12
{ 60 } | Support: 35
{ 61 } | Support: 74
{ 62 } | Support: 70
{ 63 } | Support: 190
{ 65 } | Support: 3
{ 66 } | Support: 45
{ 67 } | Support: 73
{ 68 } | Support: 44
{ 69 } | Support: 158
{ 70 } | Support: 32
{ 71 } | Support: 69
{ 72 } | Support: 66
{ 73 } | Support: 66
{ 74 } | Support: 46
{ 75 } | Support: 12
{ 76 } | Support: 20
{ 77 } | Support: 11
{ 78 } | Support: 70
{ 79 } | Support: 7
{ 80 } | Support: 81
{ 81 } | Support: 90
{ 82 } | Support: 3
{ 83 } | Support: 84
{ 84 } | Support: 8
{ 85 } | Support: 102
{ 86 } | Support: 85
{ 87 } | Support: 193
{ 88 } | Support: 18
{ 89 } | Support: 63
{ 90 } | Support: 31
{ 91 } | Support: 18
{ 92 } | Support: 21
{ 93 } | Support: 68
{ 94 } | Support: 19
{ 95 } | Support: 47
{ 96 } | Support: 15
{ 97 } | Support: 41
{ 98 } | Support: 12
{ 99 } | Support: 14
{ 0, 3 } | Support: 6
{ 0, 4 } | Support: 2
{ 0, 5 } | Support: 2
{ 0, 6 } | Support: 3
{ 0, 7 } | Support: 4
{ 0, 8 } | Support: 4
{ 0, 9 } | Support: 3
{ 0, 10 } | Support: 2
{ 0, 11 } | Support: 10
{ 0, 12 } | Support: 2
{ 0, 14 } | Support: 4
{ 0, 17 } | Support: 5
{ 0, 18 } | Support: 2
{ 0, 23 } | Support: 4
{ 0, 25 } | Support: 2
{ 0, 26 } | Support: 3
{ 0, 27 } | Support: 2
{ 0, 28 } | Support: 5
{ 0, 29 } | Support: 6
{ 0, 34 } | Support: 2
{ 0, 35 } | Support: 4
{ 0, 36 } | Support: 4
{ 0, 38 } | Support: 8
{ 0, 39 } | Support: 2
{ 0, 40 } | Support: 3
{ 0, 42 } | Support: 4
{ 0, 43 } | Support: 2
{ 0, 46 } | Support: 2
{ 0, 47 } | Support: 5
{ 0, 48 } | Support: 7
{ 0, 52 } | Support: 2
{ 0, 53 } | Support: 3
{ 0, 57 } | Support: 2
{ 0, 61 } | Support: 5
{ 0, 62 } | Support: 4
{ 0, 63 } | Support: 5
{ 0, 66 } | Support: 2
{ 0, 68 } | Support: 2
{ 0, 69 } | Support: 3
{ 0, 71 } | Support: 5
{ 0, 72 } | Support: 5
{ 0, 73 } | Support: 8
{ 0, 74 } | Support: 2
{ 0, 76 } | Support: 2
{ 0, 78 } | Support: 2
{ 0, 80 } | Support: 5
{ 0, 83 } | Support: 2
{ 0, 84 } | Support: 2
{ 0, 85 } | Support: 2
{ 0, 86 } | Support: 5
{ 0, 87 } | Support: 4
{ 0, 88 } | Support: 2
{ 0, 90 } | Support: 2
{ 0, 93 } | Support: 3
{ 0, 94 } | Support: 2
{ 0, 96 } | Support: 2
{ 0, 97 } | Support: 3
{ 0, 99 } | Support: 2
{ 3, 5 } | Support: 3
{ 3, 6 } | Support: 3
{ 3, 7 } | Support: 8
{ 3, 8 } | Support: 10
{ 3, 9 } | Support: 10
{ 3, 10 } | Support: 3
{ 3, 11 } | Support: 12
{ 3, 12 } | Support: 8
{ 3, 13 } | Support: 3
{ 3, 14 } | Support: 10
{ 3, 15 } | Support: 3
{ 3, 17 } | Support: 11
{ 3, 19 } | Support: 3
{ 3, 20 } | Support: 4
{ 3, 21 } | Support: 6
{ 3, 23 } | Support: 13
{ 3, 24 } | Support: 7
{ 3, 25 } | Support: 5
{ 3, 26 } | Support: 3
{ 3, 27 } | Support: 2
{ 3, 28 } | Support: 8
{ 3, 29 } | Support: 9
{ 3, 31 } | Support: 4
{ 3, 33 } | Support: 4
{ 3, 34 } | Support: 3
{ 3, 35 } | Support: 9
{ 3, 36 } | Support: 15
{ 3, 38 } | Support: 21
{ 3, 39 } | Support: 8
{ 3, 40 } | Support: 10
{ 3, 41 } | Support: 2
{ 3, 43 } | Support: 10
{ 3, 45 } | Support: 8
{ 3, 46 } | Support: 4
{ 3, 47 } | Support: 13
{ 3, 48 } | Support: 19
{ 3, 49 } | Support: 4
{ 3, 51 } | Support: 6
{ 3, 52 } | Support: 5
{ 3, 53 } | Support: 4
{ 3, 55 } | Support: 7
{ 3, 57 } | Support: 3
{ 3, 60 } | Support: 5
{ 3, 61 } | Support: 15
{ 3, 62 } | Support: 11
{ 3, 63 } | Support: 22
{ 3, 67 } | Support: 7
{ 3, 68 } | Support: 6
{ 3, 69 } | Support: 17
{ 3, 70 } | Support: 3
{ 3, 71 } | Support: 7
{ 3, 72 } | Support: 10
{ 3, 73 } | Support: 10
{ 3, 74 } | Support: 5
{ 3, 76 } | Support: 3
{ 3, 77 } | Support: 2
{ 3, 78 } | Support: 9
{ 3, 80 } | Support: 9
{ 3, 81 } | Support: 8
{ 3, 83 } | Support: 9
{ 3, 85 } | Support: 15
{ 3, 86 } | Support: 9
{ 3, 87 } | Support: 31
{ 3, 88 } | Support: 2
{ 3, 89 } | Support: 6
{ 3, 90 } | Support: 4
{ 3, 91 } | Support: 3
{ 3, 92 } | Support: 2
{ 3, 93 } | Support: 9
{ 3, 94 } | Support: 4
{ 3, 95 } | Support: 13
{ 4, 5 } | Support: 2
{ 4, 8 } | Support: 3
{ 4, 9 } | Support: 2
{ 4, 10 } | Support: 2
{ 4, 11 } | Support: 3
{ 4, 14 } | Support: 3
{ 4, 17 } | Support: 4
{ 4, 23 } | Support: 4
{ 4, 26 } | Support: 3
{ 4, 29 } | Support: 3
{ 4, 31 } | Support: 2
{ 4, 34 } | Support: 2
{ 4, 35 } | Support: 4
{ 4, 36 } | Support: 5
{ 4, 38 } | Support: 5
{ 4, 40 } | Support: 4
{ 4, 43 } | Support: 2
{ 4, 47 } | Support: 2
{ 4, 51 } | Support: 2
{ 4, 52 } | Support: 4
{ 4, 55 } | Support: 2
{ 4, 60 } | Support: 4
{ 4, 61 } | Support: 2
{ 4, 63 } | Support: 8
{ 4, 67 } | Support: 5
{ 4, 69 } | Support: 6
{ 4, 78 } | Support: 3
{ 4, 85 } | Support: 5
{ 4, 87 } | Support: 4
{ 4, 89 } | Support: 3
{ 5, 6 } | Support: 2
{ 5, 7 } | Support: 6
{ 5, 8 } | Support: 2
{ 5, 9 } | Support: 3
{ 5, 11 } | Support: 4
{ 5, 14 } | Support: 3
{ 5, 17 } | Support: 4
{ 5, 22 } | Support: 2
{ 5, 25 } | Support: 4
{ 5, 26 } | Support: 2
{ 5, 28 } | Support: 3
{ 5, 29 } | Support: 3
{ 5, 33 } | Support: 2
{ 5, 35 } | Support: 4
{ 5, 36 } | Support: 9
{ 5, 38 } | Support: 10
{ 5, 39 } | Support: 7
{ 5, 40 } | Support: 5
{ 5, 41 } | Support: 3
{ 5, 43 } | Support: 7
{ 5, 46 } | Support: 3
{ 5, 48 } | Support: 2
{ 5, 49 } | Support: 2
{ 5, 57 } | Support: 2
{ 5, 61 } | Support: 4
{ 5, 62 } | Support: 4
{ 5, 63 } | Support: 10
{ 5, 66 } | Support: 4
{ 5, 67 } | Support: 6
{ 5, 68 } | Support: 6
{ 5, 69 } | Support: 5
{ 5, 71 } | Support: 3
{ 5, 72 } | Support: 3
{ 5, 73 } | Support: 6
{ 5, 77 } | Support: 2
{ 5, 78 } | Support: 3
{ 5, 80 } | Support: 3
{ 5, 81 } | Support: 3
{ 5, 83 } | Support: 7
{ 5, 85 } | Support: 5
{ 5, 86 } | Support: 3
{ 5, 87 } | Support: 5
{ 5, 93 } | Support: 3
{ 5, 94 } | Support: 2
{ 5, 95 } | Support: 3
{ 6, 8 } | Support: 4
{ 6, 9 } | Support: 4
{ 6, 11 } | Support: 2
{ 6, 14 } | Support: 2
{ 6, 18 } | Support: 2
{ 6, 19 } | Support: 2
{ 6, 23 } | Support: 2
{ 6, 25 } | Support: 3
{ 6, 28 } | Support: 2
{ 6, 33 } | Support: 2
{ 6, 35 } | Support: 2
{ 6, 36 } | Support: 5
{ 6, 38 } | Support: 5
{ 6, 40 } | Support: 4
{ 6, 42 } | Support: 3
{ 6, 47 } | Support: 2
{ 6, 48 } | Support: 4
{ 6, 51 } | Support: 3
{ 6, 52 } | Support: 2
{ 6, 53 } | Support: 2
{ 6, 55 } | Support: 2
{ 6, 57 } | Support: 2
{ 6, 62 } | Support: 3
{ 6, 63 } | Support: 5
{ 6, 67 } | Support: 2
{ 6, 68 } | Support: 2
{ 6, 69 } | Support: 6
{ 6, 71 } | Support: 2
{ 6, 74 } | Support: 2
{ 6, 75 } | Support: 2
{ 6, 78 } | Support: 6
{ 6, 80 } | Support: 4
{ 6, 81 } | Support: 2
{ 6, 83 } | Support: 4
{ 6, 85 } | Support: 2
{ 6, 87 } | Support: 4
{ 6, 93 } | Support: 2
{ 7, 8 } | Support: 8
{ 7, 9 } | Support: 5
{ 7, 11 } | Support: 7
{ 7, 12 } | Support: 2
{ 7, 14 } | Support: 5
{ 7, 15 } | Support: 2
{ 7, 17 } | Support: 8
{ 7, 19 } | Support: 2
{ 7, 21 } | Support: 2
{ 7, 22 } | Support: 3
{ 7, 23 } | Support: 5
{ 7, 24 } | Support: 6
{ 7, 25 } | Support: 6
{ 7, 26 } | Support: 5
{ 7, 27 } | Support: 3
{ 7, 28 } | Support: 8
{ 7, 29 } | Support: 2
{ 7, 32 } | Support: 2
{ 7, 35 } | Support: 2
{ 7, 36 } | Support: 8
{ 7, 38 } | Support: 15
{ 7, 39 } | Support: 3
{ 7, 40 } | Support: 3
{ 7, 42 } | Support: 4
{ 7, 43 } | Support: 5
{ 7, 46 } | Support: 2
{ 7, 47 } | Support: 6
{ 7, 48 } | Support: 6
{ 7, 49 } | Support: 3
{ 7, 50 } | Support: 2
{ 7, 51 } | Support: 3
{ 7, 52 } | Support: 7
{ 7, 53 } | Support: 4
{ 7, 55 } | Support: 2
{ 7, 60 } | Support: 3
{ 7, 61 } | Support: 7
{ 7, 62 } | Support: 4
{ 7, 63 } | Support: 7
{ 7, 66 } | Support: 3
{ 7, 67 } | Support: 7
{ 7, 68 } | Support: 5
{ 7, 69 } | Support: 7
{ 7, 71 } | Support: 2
{ 7, 72 } | Support: 3
{ 7, 73 } | Support: 5
{ 7, 74 } | Support: 3
{ 7, 78 } | Support: 5
{ 7, 80 } | Support: 3
{ 7, 81 } | Support: 4
{ 7, 83 } | Support: 11
{ 7, 85 } | Support: 13
{ 7, 86 } | Support: 5
{ 7, 87 } | Support: 8
{ 7, 89 } | Support: 3
{ 7, 90 } | Support: 2
{ 7, 91 } | Support: 3
{ 7, 92 } | Support: 3
{ 7, 93 } | Support: 5
{ 7, 95 } | Support: 3
{ 7, 97 } | Support: 2
{ 8, 9 } | Support: 8
{ 8, 10 } | Support: 6
{ 8, 11 } | Support: 10
{ 8, 12 } | Support: 4
{ 8, 13 } | Support: 4
{ 8, 14 } | Support: 4
{ 8, 15 } | Support: 2
{ 8, 16 } | Support: 4
{ 8, 17 } | Support: 13
{ 8, 18 } | Support: 2
{ 8, 19 } | Support: 2
{ 8, 20 } | Support: 3
{ 8, 21 } | Support: 7
{ 8, 22 } | Support: 3
{ 8, 23 } | Support: 8
{ 8, 24 } | Support: 2
{ 8, 25 } | Support: 3
